Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system peak,,MW,,2019-06-01,2771.0
LUMA,Overall System,Monthly system peak,,MW,,2019-07-01,2758.0
LUMA,Overall System,Monthly system peak,,MW,,2019-08-01,2866.0
LUMA,Overall System,Monthly system peak,,MW,,2019-09-01,2815.0
LUMA,Overall System,Monthly system peak,,MW,,2019-10-01,2758.0
LUMA,Overall System,Monthly system peak,,MW,,2019-11-01,2587.0
LUMA,Overall System,Monthly system peak,,MW,,2019-12-01,2629
LUMA,Overall System,Monthly system peak,,MW,,2020-01-01,2346
LUMA,Overall System,Monthly system peak,,MW,,2020-02-01,2349
LUMA,Overall System,Monthly system peak,,MW,,2020-03-01,2339.0
LUMA,Overall System,Monthly system peak,,MW,,2020-04-01,2435.0
LUMA,Overall System,Monthly system peak,,MW,,2020-05-01,2656.0
LUMA,Overall System,Monthly system peak,,MW,,2020-06-01,2911.0
LUMA,Overall System,Monthly system peak,,MW,,2020-07-01,2856.0
LUMA,Overall System,Monthly system peak,,MW,,2020-08-01,2945.0
LUMA,Overall System,Monthly system peak,,MW,,2020-09-01,2848.0
LUMA,Overall System,Monthly system peak,,MW,,2020-10-01,2700.0
LUMA,Overall System,Monthly system peak,,MW,,2020-11-01,2503.0
LUMA,Overall System,Monthly system peak,,MW,,2020-12-01,2508.0
LUMA,Overall System,Monthly system peak,,MW,,2021-01-01,2331.0
LUMA,Overall System,Monthly system peak,,MW,,2021-02-01,2349.0
LUMA,Overall System,Monthly system peak,,MW,,2021-03-01,2449.0
LUMA,Overall System,Monthly system peak,,MW,,2021-04-01,2626.0
LUMA,Overall System,Monthly system peak,,MW,,2021-05-01,2761.0
LUMA,Overall System,Monthly system peak,,MW,,2021-06-01,2718.0
LUMA,Overall System,Monthly system peak,,MW,,2021-07-01,2801.0
LUMA,Overall System,Monthly system peak,,MW,,2021-08-01,2960.0
LUMA,Overall System,Monthly system peak,,MW,,2021-09-01,2929.0
LUMA,Overall System,Monthly system peak,,MW,,2021-10-01,2793.0
LUMA,Overall System,Monthly system peak,,MW,,2021-11-01,2642.0
LUMA,Overall System,Monthly system peak,,MW,,2021-12-01,2604.0
LUMA,Overall System,Monthly system peak,,MW,,2022-01-01,2412.0
LUMA,Overall System,Monthly system peak,,MW,,2022-02-01,2373.0
LUMA,Overall System,Monthly system peak,,MW,,2022-03-01,2429.0
LUMA,Overall System,Monthly system peak,,MW,,2022-04-01,2466.0
LUMA,Overall System,Monthly system peak,,MW,,2022-05-01,2794.0
LUMA,Overall System,Monthly system peak,,MW,,2022-06-01,2922.0
LUMA,Overall System,Monthly system peak,,MW,,2022-07-01,2785.0
LUMA,Overall System,Monthly system peak,,MW,,2022-08-01,2870.0
LUMA,Overall System,Monthly system peak,,MW,,2022-09-01,2877.0
LUMA,Overall System,Monthly system peak,,MW,,2022-10-01,2646.0
LUMA,Overall System,Monthly system peak,,MW,,2022-11-01,2490.0
LUMA,Overall System,Monthly system peak,,MW,,2022-12-01,2382.0
LUMA,Overall System,Monthly system peak,,MW,,2023-01-01,2261.0
LUMA,Overall System,Monthly system peak,,MW,,2023-02-01,2258.0
LUMA,Overall System,Monthly system peak,,MW,,2023-03-01,2374.0
LUMA,Overall System,Monthly system peak,,MW,,2023-04-01,2466.0
LUMA,Overall System,Monthly system peak,,MW,,2023-05-01,2775.0
LUMA,Overall System,Monthly system peak,,MW,,2023-06-01,3049.0
LUMA,Overall System,Monthly system peak,,MW,,2023-07-01,2899
LUMA,Overall System,Monthly system peak,,MW,,2023-08-01,3151.0
LUMA,Overall System,Monthly system peak,,MW,,2023-09-01,3085.0
LUMA,Overall System,Monthly system peak,,MW,,2023-10-01,3009.0
LUMA,Overall System,Monthly system peak,,MW,,2023-11-01,2754.0
LUMA,Overall System,Monthly system peak,,MW,,2023-12-01,2613.0
LUMA,Overall System,Monthly system peak,,MW,,2024-01-01,2447.0
LUMA,Overall System,Monthly system peak,,MW,,2024-02-01,2526.0
LUMA,Overall System,Monthly system peak,,MW,,2024-03-01,2777.0
LUMA,Overall System,Monthly system peak,,MW,,2024-04-01,2684.0
LUMA,Overall System,Monthly system peak,,MW,,2024-05-01,3002.0
LUMA,Overall System,Monthly system peak,,MW,,2024-06-01,3181.0
